sta  stla  stlo  az  dist  pga  pgv
W11B 22.364750 120.905500 196.322 148.252 0.656995 0.078087
W11C 22.294167 120.868222 196.875 156.835 0.607469 0.051643
W11D 22.698444 121.026167 195.473 109.315 0.719734 0.050462
W11E 22.462417 120.940806 196.122 136.853 0.594259 0.052301
W11F 22.532417 120.954333 196.475 129.02 0.533838 0.050119
W120 23.075028 121.352583 176.08 63.8266 3.332875 0.266259
W121 23.191944 121.395861 170.169 51.4832 5.036265 0.342627
W122 22.795250 121.193611 187.196 95.408 0.606362 0.115696
W123 22.747306 121.151444 189.253 101.28 0.895281 0.160367
W124 23.044833 121.146194 194.064 69.0833 3.175614 0.138054
W125 22.898798 121.149922 191.168 84.791 2.920061 0.187516
W126 22.765500 121.062806 194.533 101.171 0.710721 0.056206
W127 22.860361 121.091972 194.355 90.2518 1.497178 0.106498
W128 22.746833 121.137028 190.073 101.578 0.596428 0.079396
W129 22.477611 120.907528 197.701 136.229 0.533660 0.057810
W12A 23.131889 121.176833 193.372 58.9732 9.994007 0.278738
W12B 22.727861 121.108417 191.465 104.189 1.199771 0.122750
W12D 23.186861 121.024833 209.662 58.9946 8.607568 0.255039
W12E 22.587700 120.993700 195.46 122.025 0.417812 0.050841
W12F 22.595300 120.961700 197.053 122.131 0.950431 0.063871
W130 22.453600 120.887400 198.184 139.394 0.782044 0.059864
W131 22.591444 120.632472 210.758 136.232 0.766581 0.066541
W132 22.427194 120.628639 207.413 152.365 0.420610 0.059968
W133 22.702444 120.635556 213.48 125.621 1.897589 0.130299
W134 22.771139 120.496528 220.708 128.09 4.914498 0.940025
W135 22.667028 120.600139 213.873 130.899 1.020413 0.104536
W136 22.463472 120.622417 208.337 149.102 0.424615 0.045296
W137 21.943611 120.800972 195.559 196.062 0.359145 0.039960
W138 22.837878 120.638889 217.498 113.164 4.171798 0.214076
W139 22.862861 120.634528 218.544 111.251 2.571540 0.154191
W13A 22.547778 120.543167 212.915 145.161 2.264756 0.323402
W13B 22.528028 120.627528 209.502 142.576 1.371387 0.087964
W13C 22.743639 120.639139 214.512 121.623 1.435609 0.107168
W13D 22.129167 120.776361 198.113 177.098 0.300999 0.043031
W13E 22.024000 120.839667 195.1 186.426 0.414879 0.052619
W13F 22.022972 120.721000 198.663 190.052 0.537068 0.099162
W140 22.816806 120.640972 216.709 114.904 1.382437 0.087664
W141 22.630694 120.594028 213.148 134.609 1.031035 0.185654
W142 22.330441 120.621078 205.932 162.308 0.663372 0.074259
W144 22.717194 120.486222 219.391 133.361 3.468041 0.580812
W145 22.765972 120.644639 214.957 119.264 0.897641 0.076731
W146 22.176306 120.837222 196.643 170.256 0.880411 0.083357
W147 22.072806 120.716000 199.355 184.994 0.489072 0.087413
W148 22.652639 120.630611 212.34 130.54 1.372497 0.084037
W149 22.370639 120.626667 206.443 158.053 0.423731 0.050980
W14A 22.124722 120.846278 195.822 175.487 0.414134 0.051181
W14B 22.235111 120.802972 198.459 165.094 0.593670 0.050515
W14C 21.970350 120.734500 197.734 195.165 0.467963 0.079675
W14D 21.940300 120.732500 197.502 198.402 0.412710 0.085574
W14E 22.337434 120.368618 213.768 174.483 0.481116 0.119316
W14F 21.913000 120.848200 193.938 198.116 0.357125 0.054533
W150 24.661700 120.821200 336.191 122.574 -1.729595 0.196940
W151 24.443917 120.874111 333.33 98.4785 4.004804 0.194430
W152 24.573944 120.936528 339.72 109.152 1.317097 0.110065
W153 24.578139 120.849333 335.601 112.965 1.738005 0.139999
W154 24.498111 120.827917 332.538 105.959 0.723438 0.102295
W155 24.343750 120.766556 324.368 94.6677 1.795981 0.127202
W156 24.422111 120.910444 334.661 94.6852 1.262473 0.094190
W157 24.490167 120.789111 330.454 107.077 3.355462 0.210160
W158 24.707639 120.923750 341.556 123.545 1.785295 0.192447
W159 24.298167 120.849389 326.949 85.7393 1.150694 0.127097
W15A 24.410492 120.902234 333.864 93.8911 1.854013 0.090865
W15B 24.554278 120.812472 333.305 112.207 1.672192 0.160551
W15C 24.388228 120.971512 337.229 88.721 -1.505667 0.094386
W15D 24.476556 120.891083 335.129 100.977 1.376708 0.075255
W15E 24.686667 120.960500 342.884 120.189 1.556457 0.127240
W15F 24.409472 120.765306 326.736 100.728 2.561483 0.171775
W160 24.544696 120.922947 338.419 106.624 0.967834 0.075886
W162 24.382417 120.759472 325.488 98.5787 2.644459 0.189744
W163 24.397167 120.868083 331.576 94.1787 1.334340 0.113260
W164 24.600222 121.039750 345.426 108.773 1.428628 0.096729
W165 24.401500 120.765833 326.482 99.9635 1.489629 0.102049
W166 24.604417 121.000722 343.5 110.287 1.143504 0.086027
W167 24.707639 120.895139 340.293 124.499 1.546357 0.186527
W168 24.359000 120.947444 334.911 86.7608 5.422131 0.226296
W169 24.655700 120.955300 342.139 117.08 1.186984 0.148410
W16B 24.301406 120.711450 319.946 94.4247 1.912869 0.117116
W16C 24.195119 120.662780 312.627 89.3721 1.013221 0.073943
W16D 24.196251 120.547445 308.082 98.4269 3.585392 0.209581
W16E 24.107300 120.623300 306.05 86.352 2.029677 0.183942
W16F 24.204727 120.726523 316.083 85.4609 1.423071 0.123727
W170 24.207888 120.839611 322.318 78.1755 1.838128 0.155755
W171 24.213055 120.704472 315.453 87.6883 0.844395 0.084411
W172 24.172666 120.719555 314.036 83.4594 0.905362 0.119943
W173 24.157250 120.828388 318.979 74.5749 2.142521 0.122432
W174 24.255784 121.259383 355.619 67.2928 7.285926 0.297666
W175 24.265987 120.807789 323.259 85.2504 1.246023 0.104722
W176 24.332337 120.653446 318.654 100.872 1.435061 0.127093
W177 24.291833 120.908861 330.212 81.9773 3.423826 0.284519
W178 24.265833 120.573083 312.43 101.382 3.391787 0.268266
W179 24.254305 120.721027 318.267 89.8552 1.200191 0.085004
W17C 24.110055 120.732000 310.995 77.8563 1.499313 0.147718
